Week Start,robert indiana,jeff koons,edward hopper,frank stella,tj wilcox,andrea fraser,jeff koons,stuart davis,cecile taylor,jeff koons,danny lyon,robert irwin,edward steichen,archibald motley,jeff koons,laura poitras,lucy dodd,michael heizer
7/7/2013,8,15,16,3,0,1,15,2,0,15,0,3,2,0,15,3,0,0
7/14/2013,8,10,14,4,0,1,10,3,0,10,0,4,2,0,10,1,0,0
7/21/2013,8,11,19,4,0,0,11,4,0,11,1,4,2,0,11,0,0,0
7/28/2013,9,12,19,4,0,0,12,2,0,12,1,4,2,0,12,0,0,1
8/4/2013,7,11,18,3,0,1,11,3,0,11,1,3,2,0,10,1,0,0
8/11/2013,9,17,16,3,0,1,16,3,0,16,1,3,2,0,17,16,0,1
8/18/2013,8,16,17,3,0,2,16,3,0,16,0,4,2,0,16,21,0,0
8/25/2013,9,18,17,4,0,0,19,3,0,19,0,4,3,0,18,2,0,0
9/1/2013,8,18,18,3,0,1,19,3,0,19,1,3,2,0,18,1,0,1
9/8/2013,10,21,17,5,0,1,21,3,0,21,1,3,2,0,20,2,0,1
9/15/2013,10,17,19,6,0,1,17,2,0,17,1,3,3,1,17,1,0,1
9/22/2013,11,15,20,7,0,1,15,3,0,15,1,4,3,0,15,1,0,0
9/29/2013,10,21,20,5,0,1,20,3,0,20,1,3,2,0,20,2,0,1
10/6/2013,9,52,22,6,0,1,53,3,0,53,1,3,2,0,50,1,0,1
10/13/2013,11,25,21,6,0,1,25,2,0,25,1,3,3,0,26,3,0,1
10/20/2013,10,20,19,6,0,1,20,3,0,20,1,4,3,0,19,1,0,1
10/27/2013,10,18,19,5,0,1,18,3,0,18,1,3,2,0,18,2,0,1
11/3/2013,10,24,23,6,0,1,23,3,0,23,1,3,2,0,24,1,0,1
11/10/2013,9,71,21,7,0,1,71,3,0,71,1,4,3,0,69,2,0,1
11/17/2013,10,32,19,6,0,1,32,3,0,32,1,3,3,1,32,1,0,1
11/24/2013,8,27,20,6,0,1,28,2,0,28,1,4,3,0,28,1,0,1
12/1/2013,9,35,26,5,0,1,34,3,0,34,1,4,2,1,35,1,0,1
12/8/2013,80,27,28,6,0,1,28,3,0,28,0,3,2,1,27,1,0,1
12/15/2013,9,22,24,5,0,1,21,3,0,21,0,3,2,0,21,1,0,1
12/22/2013,8,16,16,3,0,1,16,3,0,16,0,3,2,0,16,2,0,1
12/29/2013,9,17,16,3,0,2,17,4,0,17,1,3,2,0,18,3,0,0
1/5/2014,14,18,22,6,0,1,19,3,0,19,1,3,2,0,18,1,0,0
1/12/2014,10,20,29,5,0,1,20,3,0,20,1,3,2,0,19,1,0,1
1/19/2014,9,19,24,6,0,1,19,3,0,19,1,3,2,0,19,0,0,1
1/26/2014,11,19,26,7,0,1,19,3,0,19,1,4,2,0,19,1,0,1
2/2/2014,9,20,27,7,0,1,20,3,0,20,1,4,3,1,20,1,0,1
2/9/2014,12,17,23,6,0,1,17,3,0,17,1,4,3,1,16,1,0,1
2/16/2014,8,14,20,5,0,1,15,2,0,15,1,3,3,1,14,1,0,1
2/23/2014,9,17,20,5,0,1,17,3,0,17,1,3,2,0,17,1,0,1
3/2/2014,9,16,20,6,0,1,16,3,0,16,1,8,3,1,15,1,0,1
3/9/2014,9,14,19,6,0,1,14,3,0,14,1,6,2,1,15,1,0,1
3/16/2014,8,13,19,6,0,1,13,4,0,13,1,3,2,0,12,0,0,1
3/23/2014,8,14,21,5,0,1,15,3,0,15,1,5,3,0,15,0,0,1
3/30/2014,8,14,22,5,0,1,14,4,0,14,1,4,2,0,13,1,0,1
4/6/2014,9,15,21,5,0,1,14,2,0,14,1,3,2,0,15,3,0,1
4/13/2014,9,15,19,5,0,1,15,2,0,15,1,4,2,1,16,2,0,1
4/20/2014,10,16,18,6,0,1,16,3,0,16,2,4,2,1,16,1,0,1
4/27/2014,9,15,20,6,0,1,14,3,0,14,1,4,3,1,16,1,0,1
5/4/2014,10,16,20,6,0,1,15,3,0,15,1,4,2,1,15,0,0,1
5/11/2014,8,26,22,6,0,1,25,2,0,25,1,3,2,0,24,2,0,1
