Date,Total Visitors,Paid Visitors,Admissions Revenue,Show Summary,Fiscal Year,Show 1,Show2,Show3,Show4,Show5
7/1/2009,864,594,4856,Oldenburg/Graham,2010,,,,,
7/2/2009,864,594,4856,Oldenburg/Graham,2010,,,,,
7/3/2009,864,594,4856,Oldenburg/Graham,2010,,,,,
7/4/2009,864,594,4856,Oldenburg/Graham,2010,,,,,
7/5/2009,864,594,4856,Oldenburg/Graham,2010,,,,,
7/6/2009,586,363,3318.72,Oldenburg/Graham,2010,,,,,
7/7/2009, -   , -   ,0,Oldenburg/Graham,2010,,,,,
7/8/2009,602,374,3412.29,Oldenburg/Graham,2010,,,,,
7/9/2009,628,390,3559.28,Oldenburg/Graham,2010,,,,,
7/10/2009,976,605,5528.79,Oldenburg/Graham,2010,,,,,
7/11/2009,1111,689,6292.33,Oldenburg/Graham,2010,,,,,
7/12/2009,799,496,4527.89,Oldenburg/Graham,2010,,,,,
7/13/2009,498,353,3466.09,Oldenburg/Graham,2010,,,,,
7/14/2009, -   , -   ,0,Oldenburg/Graham,2010,,,,,
7/15/2009,512,363,3563.82,Oldenburg/Graham,2010,,,,,
7/16/2009,534,379,3717.33,Oldenburg/Graham,2010,,,,,
7/17/2009,829,588,5774.3,Oldenburg/Graham,2010,,,,,
7/18/2009,943,670,6571.74,Oldenburg/Graham,2010,,,,,
7/19/2009,679,482,4728.95,Oldenburg/Graham,2010,,,,,
7/20/2009,552,386,3693.71,Oldenburg/Graham,2010,,,,,
7/21/2009, -   , -   ,0,Oldenburg/Graham,2010,,,,,
7/22/2009,568,397,3797.86,Oldenburg/Graham,2010,,,,,
7/23/2009,592,414,3961.45,Oldenburg/Graham,2010,,,,,
7/24/2009,920,644,6153.5,Oldenburg/Graham,2010,,,,,
7/25/2009,1047,733,7003.31,Oldenburg/Graham,2010,,,,,
7/26/2009,754,527,5039.51,Oldenburg/Graham,2010,,,,,
7/27/2009,560,375,3663.73,Oldenburg/Graham,2010,,,,,
7/28/2009, -   , -   ,0,Oldenburg/Graham,2010,,,,,
7/29/2009,576,386,3767.04,Oldenburg/Graham,2010,,,,,
7/30/2009,600,402,3929.3,Oldenburg/Graham,2010,,,,,
7/31/2009,933,625,6103.57,Oldenburg/Graham,2010,,,,,
8/1/2009,1062,711,6946.48,Oldenburg/Graham,2010,,,,,
8/2/2009,764,512,4998.61,Oldenburg/Graham,2010,,,,,
8/3/2009,536,373,3866.06,Oldenburg/Graham,2010,,,,,
8/4/2009, -   , -   ,0,Oldenburg/Graham,2010,,,,,
8/5/2009,551,383,3975.07,Oldenburg/Graham,2010,,,,,
8/6/2009,575,400,4146.29,Oldenburg/Graham,2010,,,,,
8/7/2009,893,621,6440.63,Oldenburg/Graham,2010,,,,,
8/8/2009,1016,706,7330.09,Oldenburg/Graham,2010,,,,,
8/9/2009,731,508,5274.66,Oldenburg/Graham,2010,,,,,
8/10/2009,497,370,3918.51,Oldenburg/Graham,2010,,,,,
8/11/2009, -   , -   ,0,Oldenburg/Graham,2010,,,,,
8/12/2009,511,380,4029,Oldenburg/Graham,2010,,,,,
8/13/2009,533,397,4202.55,Oldenburg/Graham,2010,,,,,
8/14/2009,828,616,6528.02,Oldenburg/Graham,2010,,,,,
8/15/2009,942,701,7429.55,Oldenburg/Graham,2010,,,,,
8/16/2009,678,504,5346.22,Oldenburg/Graham,2010,,,,,
8/17/2009,483,344,3747.52,Oldenburg/Graham,2010,,,,,
8/18/2009, -   , -   ,0,Oldenburg/Graham,2010,,,,,
8/19/2009,497,354,3853.19,Oldenburg/Graham,2010,,,,,
8/20/2009,519,369,4019.16,Oldenburg/Graham,2010,,,,,
8/21/2009,805,574,6243.16,Oldenburg/Graham,2010,,,,,
8/22/2009,917,653,7105.35,Oldenburg/Graham,2010,,,,,
8/23/2009,660,470,5112.93,Oldenburg/Graham,2010,,,,,
8/24/2009,498,362,3922.31,Oldenburg/Graham,2010,,,,,
8/25/2009, -   , -   ,0,Oldenburg/Graham,2010,,,,,
8/26/2009,512,372,4032.9,Oldenburg/Graham,2010,,,,,
8/27/2009,534,388,4206.62,Oldenburg/Graham,2010,,,,,
8/28/2009,830,602,6534.34,Oldenburg/Graham,2010,,,,,
8/29/2009,945,686,7436.74,Oldenburg/Graham,2010,,,,,
8/30/2009,680,493,5351.4,Oldenburg/Graham,2010,,,,,
8/31/2009,469,295,3542.83,Oldenburg/Graham,2010,,,,,
9/1/2009, -   , -   ,0,Oldenburg/Graham,2010,,,,,
9/2/2009,482,303,3642.72,Oldenburg/Graham,2010,,,,,
9/3/2009,503,316,3799.63,Oldenburg/Graham,2010,,,,,
9/4/2009,781,491,5902.15,Oldenburg/Graham,2010,,,,,
9/5/2009,889,558,6717.25,Oldenburg/Graham,2010,,,,,
9/6/2009,639,402,4833.66,Oldenburg/Graham,2010,,,,,
9/7/2009,365,270,2340.92,Graham,2010,,,,,
9/8/2009, -   , -   ,0,Graham,2010,,,,,
9/9/2009,375,278,2406.92,Graham,2010,,,,,
9/10/2009,391,290,2510.6,Graham,2010,,,,,
9/11/2009,608,450,3899.83,Graham,2010,,,,,
9/12/2009,692,512,4438.4,Graham,2010,,,,,
9/13/2009,498,369,3193.83,Graham,2010,,,,,
9/14/2009,1054,517,6656.66,O'Keeffe/Graham,2010,,,,,
9/15/2009, -   , -   ,0,O'Keeffe/Graham,2010,,,,,
9/16/2009,1084,532,6844.36,O'Keeffe/Graham,2010,,,,,
9/17/2009,1130,554,7139.17,O'Keeffe/Graham,2010,,,,,
9/18/2009,1756,861,11089.62,O'Keeffe/Graham,2010,,,,,
9/19/2009,1998,980,12621.11,O'Keeffe/Graham,2010,,,,,
9/20/2009,1438,705,9082.02,O'Keeffe/Graham,2010,,,,,
9/21/2009,1169,790,10343.97,O'Keeffe/Graham,2010,,,,,
9/22/2009, -   , -   ,0,O'Keeffe/Graham,2010,,,,,
9/23/2009,1202,812,10635.63,O'Keeffe/Graham,2010,,,,,
9/24/2009,1254,847,11093.75,O'Keeffe/Graham,2010,,,,,
9/25/2009,1948,1315,17232.45,O'Keeffe/Graham,2010,,,,,
9/26/2009,2217,1497,19612.28,O'Keeffe/Graham,2010,,,,,
9/27/2009,1595,1077,14112.78,O'Keeffe/Graham,2010,,,,,
9/28/2009,1216,702,9960.85,O'Keeffe/Graham,2010,,,,,
9/29/2009, -   , -   ,0,O'Keeffe/Graham,2010,,,,,
9/30/2009,1250,722,10241.71,O'Keeffe/Graham,2010,,,,,
10/1/2009,1304,753,10682.87,O'Keeffe/Graham,2010,,,,,
10/2/2009,2025,1170,16594.2,O'Keeffe/Graham,2010,,,,,
10/3/2009,2305,1331,18885.88,O'Keeffe/Graham,2010,,,,,
10/4/2009,1658,958,13590.08,O'Keeffe/Graham,2010,,,,,
10/5/2009,1270,873,11543.79,O'Keeffe/Graham,2010,,,,,
10/6/2009, -   , -   ,0,O'Keeffe/Graham,2010,,,,,
10/7/2009,1306,898,11869.28,O'Keeffe/Graham,2010,,,,,
10/8/2009,1362,936,12380.54,O'Keeffe/Graham,2010,,,,,
10/9/2009,2116,1454,19231.28,O'Keeffe/Graham,2010,,,,,
10/10/2009,2408,1655,21887.15,O'Keeffe/Graham,2010,,,,,
10/11/2009,1733,1191,15749.76,O'Keeffe/Graham,2010,,,,,
10/12/2009,1171,856,11606.79,O'Keeffe ,2010,,,,,
10/13/2009, -   , -   ,0,O'Keeffe ,2010,,,,,
10/14/2009,1204,880,11934.06,O'Keeffe ,2010,,,,,
10/15/2009,1256,918,12448.12,O'Keeffe ,2010,,,,,
10/16/2009,1951,1425,19336.25,O'Keeffe ,2010,,,,,
10/17/2009,2220,1622,22006.61,O'Keeffe ,2010,,,,,
10/18/2009,1598,1167,15835.72,O'Keeffe ,2010,,,,,
10/19/2009,1312,800,10527.71,O'Keeffe ,2010,,,,,
10/20/2009, -   , -   ,0,O'Keeffe ,2010,,,,,
