Exhibit,Media,Vendor,Units,Start Date,End Date,Circ / Impressions, Budget 
Hopper Drawing,Print,NYC & CO,1,6/11/2013,9/19/2013,300000,7795.35
Hopper Drawing,Print,NY Times (Arts Front pg strip),1,6/14/2013,6/14/2013,1200000,15000
Hopper Drawing,Print,NY Post (1/2 page),1,6/7/2013,6/7/2013,2107704,4845
Hopper Drawing,Print,AM New York (full page),1,6/7/2013,6/7/2013,322425,2750
Hopper Drawing,Print,Metro NY,1,6/7/2013,6/7/2013,320448,3000
Hopper Drawing,Print,The New Yorker (FP),1,6/3/2013,6/9/2013,182019,18802
Hopper Drawing,Print,WHERE NY,2,7/1/2013,8/31/2013,789600,8655
Hopper Drawing,Print,NY Times (Vogels),2,7/12/2013,7/12/2013,1200000,15000
Hopper Drawing,Print,NY Times (Vogel),1,7/26/2013,7/26/2013,1200000,15000
Hopper Drawing,Print,City Guide,2,6/20/2013,7/17/2013,260000,4600
Hopper Drawing,Print,The New Yorker,2,7/8/2013,7/14/2013,182019,8158
Hopper Drawing,Print,The New Yorker,2,8/12/2013,8/18/2013,182019,8158
Hopper Drawing,Print,NY Magazine (1/3 pg),1,6/3/2013,6/9/2013,405162,2858.81
Hopper Drawing,Print,Time Out NY,1,6/5/2013,6/11/2013,75374,2361.56
Hopper Drawing,Print,Time Out NY,2,7/17/2013,7/23/2013,75374,2361.56
Hopper Drawing,Print,Time Out NY,2,8/21/2013,8/27/2013,75374,2361.56
Hopper Drawing,Print,Wall Street Journal,1,9/20/2013,9/20/2013,,
Hopper Drawing,Print,NYC Monthly,3,7/1/2013,9/30/2013,90000,4000
Hopper Drawing,Print,Playbill,2,7/1/2013,9/30/2013,350000,6720
Hopper Drawing,Print,CTM Rack Cards,,6/1/2013,9/30/2013,75000,6666.64
Hopper Drawing,OOH,Subway Interior Car Cards,1000,6/10/2013,6/23/2013,65533000,17500
Hopper Drawing,OOH,Subway Interior Car Cards (6/24 start),"1,000",6/24/2013,7/7/2013,65533000,14000
Hopper Drawing,OOH,Subway One-Sheet Posters,,6/17/2013,6/30/2013,121000000,10000
Hopper Drawing,OOH,Subway One-Sheet Posters,,7/1/2013,7/14/2013,121000000,10000
Hopper Drawing,OOH,Streetpole Banners,,6/7/2013,7/31/2013,11592000,10000
Hopper Drawing,OOH,Bus Backs,8,7/1/2013,7/28/2013,,6000
Hopper Drawing,OOH,Bus Shelters,50,7/1/2013,7/31/2013,1500000,20000
Hopper Drawing,OOH,Flatiron Prow Installation ,1,8/15/2013,10/6/2013,,5000
Hopper Drawing,Digital,Twitter,Post,7/1/2013,7/3/2013,55301,500
